iv,contractType,dayToExpire,strikePrice,spotPrice,RFR,settlePrice
0.237,0,0.266666667,2.847,2.637,0.024654,0.0417
0.232,0,0.250980392,2.847,2.722,0.024654,0.0628
0.251,0,0.235294118,2.847,2.642,0.024654,0.0419
0.254,0,0.231372549,2.847,2.642,0.024654,0.0419
0.259,0,0.215686275,2.847,2.654,0.024654,0.0436
0.267,0,0.211764706,2.847,2.634,0.024654,0.0402
0.258,0,0.2,2.847,2.674,0.024654,0.0452
0.239,0,0.196078431,2.847,2.714,0.024654,0.0501
0.233,0,0.192156863,2.847,2.711,0.024654,0.0458
0.221,0,0.188235294,2.847,2.723,0.024654,0.0448
0.217,0,0.184313725,2.847,2.716,0.024654,0.0403
0.192,0,0.176470588,2.847,2.745,0.024654,0.0391
0.175,0,0.145098039,2.847,2.736,0.024654,0.0246
0.175,0,0.141176471,2.847,2.717,0.024654,0.0189
0.183,0,0.133333333,2.847,2.655,0.024654,0.0089
0.186,0,0.117647059,2.847,2.667,0.024654,0.009
0.194,0,0.11372549,2.847,2.655,0.024654,0.0081
0.226,0,0.109803922,2.847,2.601,0.024654,0.0063
0.203,0,0.105882353,2.847,2.651,0.024654,0.0078
0.201,0,0.101960784,2.847,2.643,0.024654,0.0062
0.173,0,0.101960784,2.847,2.686,0.024654,0.0072
0.186,0,0.08627451,2.847,2.696,0.024654,0.0079
0.19,0,0.082352941,2.847,2.686,0.024654,0.0067
0.176,0,0.078431373,2.847,2.694,0.024654,0.005
0.189,0,0.074509804,2.847,2.652,0.024654,0.0028
0.2,0,0.066666667,2.847,2.652,0.024654,0.0028
0.195,0,0.062745098,2.847,2.663,0.024654,0.003
0.188,0,0.058823529,2.847,2.688,0.024654,0.0033
0.195,0,0.054901961,2.847,2.672,0.024654,0.0023
0.203,0,0.050980392,2.847,2.675,0.024654,0.0025
0.203,0,0.047058824,2.847,2.678,0.024654,0.0022
0.308,0,0.031372549,2.847,2.612,0.024654,0.0015
0.288,0,0.02745098,2.847,2.61,0.024654,6.00E-04
0.313,0,0.023529412,2.847,2.592,0.024654,4.00E-04
0.332,0,0.019607843,2.847,2.598,0.024654,3.00E-04
0.586,0,0.007843137,2.847,2.548,0.024654,2.00E-04
0.898,0,0.003921569,2.847,2.52,0.024654,2.00E-04
0.257,1,0.282352941,2.651,2.655,0.024654,0.1081
0.26,1,0.278431373,2.651,2.626,0.024654,0.1223
0.253,1,0.274509804,2.651,2.643,0.024654,0.1104
0.241,1,0.270588235,2.651,2.676,0.024654,0.0899
0.243,1,0.266666667,2.651,2.637,0.024654,0.1073
0.238,1,0.250980392,2.651,2.722,0.024654,0.0675
0.23,1,0.235294118,2.651,2.642,0.024654,0.0941
0.232,1,0.231372549,2.651,2.642,0.024654,0.0941
0.248,1,0.215686275,2.651,2.654,0.024654,0.0922
0.247,1,0.211764706,2.651,2.634,0.024654,0.1003
0.245,1,0.2,2.651,2.674,0.024654,0.0791
0.242,1,0.196078431,2.651,2.714,0.024654,0.0618
0.242,1,0.192156863,2.651,2.711,0.024654,0.062
0.216,1,0.188235294,2.651,2.723,0.024654,0.0476
0.21,1,0.184313725,2.651,2.716,0.024654,0.047
0.199,1,0.176470588,2.651,2.745,0.024654,0.0334
0.173,1,0.145098039,2.651,2.736,0.024654,0.0231
0.166,1,0.141176471,2.651,2.717,0.024654,0.0256
0.164,1,0.133333333,2.651,2.655,0.024654,0.0463
0.164,1,0.117647059,2.651,2.667,0.024654,0.0383
0.171,1,0.11372549,2.651,2.655,0.024654,0.0449
0.205,1,0.109803922,2.651,2.601,0.024654,0.083
0.197,1,0.105882353,2.651,2.651,0.024654,0.0526
0.198,1,0.101960784,2.651,2.643,0.024654,0.0559
0.19,1,0.101960784,2.651,2.686,0.024654,0.035
0.189,1,0.08627451,2.651,2.696,0.024654,0.0278
0.189,1,0.082352941,2.651,2.686,0.024654,0.0304
0.189,1,0.078431373,2.651,2.694,0.024654,0.0267
0.191,1,0.074509804,2.651,2.652,0.024654,0.0428
0.199,1,0.066666667,2.651,2.652,0.024654,0.0424
0.205,1,0.062745098,2.651,2.663,0.024654,0.0377
0.203,1,0.058823529,2.651,2.688,0.024654,0.0261
0.206,1,0.054901961,2.651,2.672,0.024654,0.0314
0.206,1,0.050980392,2.651,2.675,0.024654,0.0288
0.208,1,0.047058824,2.651,2.678,0.024654,0.0266
0.275,1,0.031372549,2.651,2.612,0.024654,0.0635
0.236,1,0.02745098,2.651,2.61,0.024654,0.0572
0.209,1,0.023529412,2.651,2.592,0.024654,0.0655
0.201,1,0.019607843,2.651,2.598,0.024654,0.0585
0,1,0.007843137,2.651,2.548,0.024654,0.1014
0.527,1,0.003921569,2.651,2.52,0.024654,0.1316
0.259,1,0.282352941,2.7,2.655,0.024654,0.1347
0.258,1,0.278431373,2.7,2.626,0.024654,0.1489
0.249,1,0.274509804,2.7,2.643,0.024654,0.135
0.237,1,0.270588235,2.7,2.676,0.024654,0.1121
0.247,1,0.266666667,2.7,2.637,0.024654,0.1356
0.237,1,0.250980392,2.7,2.722,0.024654,0.0876
0.231,1,0.235294118,2.7,2.642,0.024654,0.1209
0.233,1,0.231372549,2.7,2.642,0.024654,0.1209
0.244,1,0.215686275,2.7,2.654,0.024654,0.116
0.246,1,0.211764706,2.7,2.634,0.024654,0.1274
0.243,1,0.2,2.7,2.674,0.024654,0.1025
0.242,1,0.196078431,2.7,2.714,0.024654,0.0826
0.237,1,0.192156863,2.7,2.711,0.024654,0.0813
0.214,1,0.188235294,2.7,2.723,0.024654,0.0665
0.207,1,0.184313725,2.7,2.716,0.024654,0.0659
0.195,1,0.176470588,2.7,2.745,0.024654,0.049
0.168,1,0.145098039,2.7,2.736,0.024654,0.0376
0.164,1,0.141176471,2.7,2.717,0.024654,0.0427
0.164,1,0.133333333,2.7,2.655,0.024654,0.0727
0.16,1,0.117647059,2.7,2.667,0.024654,0.0621
0.172,1,0.11372549,2.7,2.655,0.024654,0.0721
0.205,1,0.109803922,2.7,2.601,0.024654,0.1159
0.19,1,0.105882353,2.7,2.651,0.024654,0.078
0.197,1,0.101960784,2.7,2.643,0.024654,0.0841
0.18,1,0.101960784,2.7,2.686,0.024654,0.0548
0.181,1,0.08627451,2.7,2.696,0.024654,0.0466
0.186,1,0.082352941,2.7,2.686,0.024654,0.0519
0.183,1,0.078431373,2.7,2.694,0.024654,0.0462
0.184,1,0.074509804,2.7,2.652,0.024654,0.0692
0.195,1,0.066666667,2.7,2.652,0.024654,0.0697
0.197,1,0.062745098,2.7,2.663,0.024654,0.0621
0.188,1,0.058823529,2.7,2.688,0.024654,0.0448
0.199,1,0.054901961,2.7,2.672,0.024654,0.0548
0.198,1,0.050980392,2.7,2.675,0.024654,0.0514
0.195,1,0.047058824,2.7,2.678,0.024654,0.0478
0.297,1,0.031372549,2.7,2.612,0.024654,0.1013
0.233,1,0.02745098,2.7,2.61,0.024654,0.0947
0.2,1,0.023529412,2.7,2.592,0.024654,0.1079
0.242,1,0.019607843,2.7,2.598,0.024654,0.1036
0,1,0.007843137,2.7,2.548,0.024654,0.1511
0.625,1,0.003921569,2.7,2.52,0.024654,0.18
0.264,1,0.282352941,2.749,2.655,0.024654,0.165
0.26,1,0.278431373,2.749,2.626,0.024654,0.1799
0.257,1,0.274509804,2.749,2.643,0.024654,0.1679
0.247,1,0.270588235,2.749,2.676,0.024654,0.1435
0.251,1,0.266666667,2.749,2.637,0.024654,0.1674
0.237,1,0.250980392,2.749,2.722,0.024654,0.1119
0.227,1,0.235294118,2.749,2.642,0.024654,0.1495
0.229,1,0.231372549,2.749,2.642,0.024654,0.1495
0.241,1,0.215686275,2.749,2.654,0.024654,0.1447
0.246,1,0.211764706,2.749,2.634,0.024654,0.1582
0.246,1,0.2,2.749,2.674,0.024654,0.1318
0.242,1,0.196078431,2.749,2.714,0.024654,0.1077
0.244,1,0.192156863,2.749,2.711,0.024654,0.1093
0.214,1,0.188235294,2.749,2.723,0.024654,0.0902
0.208,1,0.184313725,2.749,2.716,0.024654,0.0907
0.192,1,0.176470588,2.749,2.745,0.024654,0.0691
0.164,1,0.145098039,2.749,2.736,0.024654,0.058
0.162,1,0.141176471,2.749,2.717,0.024654,0.0665
0.163,1,0.133333333,2.749,2.655,0.024654,0.1054
0.159,1,0.117647059,2.749,2.667,0.024654,0.094
0.173,1,0.11372549,2.749,2.655,0.024654,0.1057
0.2,1,0.109803922,2.749,2.601,0.024654,0.1532
0.2,1,0.105882353,2.749,2.651,0.024654,0.114
0.198,1,0.101960784,2.749,2.643,0.024654,0.1188
0.185,1,0.101960784,2.749,2.686,0.024654,0.0854
0.18,1,0.08627451,2.749,2.696,0.024654,0.0746
0.181,1,0.082352941,2.749,2.686,0.024654,0.081
0.179,1,0.078431373,2.749,2.694,0.024654,0.0741
0.184,1,0.074509804,2.749,2.652,0.024654,0.1047
0.204,1,0.066666667,2.749,2.652,0.024654,0.1069
0.205,1,0.062745098,2.749,2.663,0.024654,0.098
0.184,1,0.058823529,2.749,2.688,0.024654,0.0747
0.197,1,0.054901961,2.749,2.672,0.024654,0.0877
0.192,1,0.050980392,2.749,2.675,0.024654,0.0837
0.198,1,0.047058824,2.749,2.678,0.024654,0.0815
0.323,1,0.031372549,2.749,2.612,0.024654,0.1443
0.264,1,0.02745098,2.749,2.61,0.024654,0.1405
0.313,1,0.023529412,2.749,2.592,0.024654,0.16
0.327,1,0.019607843,2.749,2.598,0.024654,0.1528
0,1,0.007843137,2.749,2.548,0.024654,0.1993
0.996,1,0.003921569,2.749,2.52,0.024654,0.2314
0.265,1,0.282352941,2.798,2.655,0.024654,0.1968
0.268,1,0.278431373,2.798,2.626,0.024654,0.2162
0.257,1,0.274509804,2.798,2.643,0.024654,0.1998
0.243,1,0.270588235,2.798,2.676,0.024654,0.1723
0.239,1,0.266666667,2.798,2.637,0.024654,0.1951
0.238,1,0.250980392,2.798,2.722,0.024654,0.1399
0.23,1,0.235294118,2.798,2.642,0.024654,0.1844
0.232,1,0.231372549,2.798,2.642,0.024654,0.1844
0.248,1,0.215686275,2.798,2.654,0.024654,0.1801
0.246,1,0.211764706,2.798,2.634,0.024654,0.1925
0.248,1,0.2,2.798,2.674,0.024654,0.1642
0.236,1,0.196078431,2.798,2.714,0.024654,0.1341
0.239,1,0.192156863,2.798,2.711,0.024654,0.136
0.215,1,0.188235294,2.798,2.723,0.024654,0.1191
0.207,1,0.184313725,2.798,2.716,0.024654,0.1196
0.19,1,0.176470588,2.798,2.745,0.024654,0.0948
0.161,1,0.145098039,2.798,2.736,0.024654,0.0852
0.161,1,0.141176471,2.798,2.717,0.024654,0.097
0.14,1,0.133333333,2.798,2.655,0.024654,0.1399
0.152,1,0.117647059,2.798,2.667,0.024654,0.1313
0.169,1,0.11372549,2.798,2.655,0.024654,0.1442
0.198,1,0.109803922,2.798,2.601,0.024654,0.1955
0.195,1,0.105882353,2.798,2.651,0.024654,0.152
0.215,1,0.101960784,2.798,2.643,0.024654,0.1614
0.189,1,0.101960784,2.798,2.686,0.024654,0.1221
0.175,1,0.08627451,2.798,2.696,0.024654,0.1091
0.184,1,0.082352941,2.798,2.686,0.024654,0.1184
0.188,1,0.078431373,2.798,2.694,0.024654,0.1121
0.193,1,0.074509804,2.798,2.652,0.024654,0.1474
0.2,1,0.066666667,2.798,2.652,0.024654,0.1474
0.215,1,0.062745098,2.798,2.663,0.024654,0.139
0.172,1,0.058823529,2.798,2.688,0.024654,0.1119
0.208,1,0.054901961,2.798,2.672,0.024654,0.1294
0.189,1,0.050980392,2.798,2.675,0.024654,0.1243
0.182,1,0.047058824,2.798,2.678,0.024654,0.1205
0.392,1,0.031372549,2.798,2.612,0.024654,0.1929
0.283,1,0.02745098,2.798,2.61,0.024654,0.1876
0.388,1,0.023529412,2.798,2.592,0.024654,0.2079
0.425,1,0.019607843,2.798,2.598,0.024654,0.2026
0,1,0.007843137,2.798,2.548,0.024654,0.2481
1.304,1,0.003921569,2.798,2.52,0.024654,0.2826
0.263,1,0.282352941,2.847,2.655,0.024654,0.2301
0.272,1,0.278431373,2.847,2.626,0.024654,0.2533
0.261,1,0.274509804,2.847,2.643,0.024654,0.2362
0.245,1,0.270588235,2.847,2.676,0.024654,0.2067
0.255,1,0.266666667,2.847,2.637,0.024654,0.2374
0.242,1,0.250980392,2.847,2.722,0.024654,0.1722
0.225,1,0.235294118,2.847,2.642,0.024654,0.2191
0.226,1,0.231372549,2.847,2.642,0.024654,0.2191
0.247,1,0.215686275,2.847,2.654,0.024654,0.2153
0.237,1,0.211764706,2.847,2.634,0.024654,0.2269
0.249,1,0.2,2.847,2.674,0.024654,0.199
0.244,1,0.196078431,2.847,2.714,0.024654,0.169
0.248,1,0.192156863,2.847,2.711,0.024654,0.1721
0.215,1,0.188235294,2.847,2.723,0.024654,0.1515
0.207,1,0.184313725,2.847,2.716,0.024654,0.1532
0.189,1,0.176470588,2.847,2.745,0.024654,0.1259
0.155,1,0.145098039,2.847,2.736,0.024654,0.1184
0.156,1,0.141176471,2.847,2.717,0.024654,0.133
0.156,1,0.133333333,2.847,2.655,0.024654,0.186
0.151,1,0.117647059,2.847,2.667,0.024654,0.1747
0.17,1,0.11372549,2.847,2.655,0.024654,0.1879
0.156,1,0.109803922,2.847,2.601,0.024654,0.24
0.183,1,0.105882353,2.847,2.651,0.024654,0.1929
0.214,1,0.101960784,2.847,2.643,0.024654,0.2037
0.178,1,0.101960784,2.847,2.686,0.024654,0.1608
0.171,1,0.08627451,2.847,2.696,0.024654,0.1501
0.19,1,0.082352941,2.847,2.686,0.024654,0.1612
0.199,1,0.078431373,2.847,2.694,0.024654,0.1549
0.182,1,0.074509804,2.847,2.652,0.024654,0.1914
0.182,1,0.066666667,2.847,2.652,0.024654,0.1914
0.236,1,0.062745098,2.847,2.663,0.024654,0.1849
0,1,0.058823529,2.847,2.688,0.024654,0.1539
0.209,1,0.054901961,2.847,2.672,0.024654,0.1738
0.166,1,0.050980392,2.847,2.675,0.024654,0.1688
0.159,1,0.047058824,2.847,2.678,0.024654,0.1658
0.352,1,0.031372549,2.847,2.612,0.024654,0.2355
0,1,0.02745098,2.847,2.61,0.024654,0.2343
0,1,0.023529412,2.847,2.592,0.024654,0.249
0.479,1,0.019607843,2.847,2.598,0.024654,0.2508
0,1,0.007843137,2.847,2.548,0.024654,0.2873
1.387,1,0.003921569,2.847,2.52,0.024654,0.3304
0.262,0,0.282352941,2.896,2.655,0.024654,0.0477
0.26,0,0.278431373,2.896,2.626,0.024654,0.0389
0.26,0,0.274509804,2.896,2.643,0.024654,0.0423
0.248,0,0.270588235,2.896,2.676,0.024654,0.0454
0.243,0,0.266666667,2.896,2.637,0.024654,0.0334
0.234,0,0.250980392,2.896,2.722,0.024654,0.0491
0.254,0,0.235294118,2.896,2.642,0.024654,0.0325
0.256,0,0.231372549,2.896,2.642,0.024654,0.0325
0.262,0,0.215686275,2.896,2.654,0.024654,0.0339
0.269,0,0.211764706,2.896,2.634,0.024654,0.031
0.261,0,0.2,2.896,2.674,0.024654,0.0348
0.241,0,0.196078431,2.896,2.714,0.024654,0.0377
0.234,0,0.192156863,2.896,2.711,0.024654,0.0339
0.224,0,0.188235294,2.896,2.723,0.024654,0.0328
0.218,0,0.184313725,2.896,2.716,0.024654,0.0285
0.191,0,0.176470588,2.896,2.745,0.024654,0.0259
0.175,0,0.145098039,2.896,2.736,0.024654,0.0145
0.176,0,0.141176471,2.896,2.717,0.024654,0.0111
0.188,0,0.133333333,2.896,2.655,0.024654,0.0052
0.192,0,0.117647059,2.896,2.667,0.024654,0.0051
0.199,0,0.11372549,2.896,2.655,0.024654,0.0046
0.229,0,0.109803922,2.896,2.601,0.024654,0.0037
0.208,0,0.105882353,2.896,2.651,0.024654,0.0044
0.206,0,0.101960784,2.896,2.643,0.024654,0.0035
0.179,0,0.101960784,2.896,2.686,0.024654,0.0038
0.189,0,0.08627451,2.896,2.696,0.024654,0.0039
0.192,0,0.082352941,2.896,2.686,0.024654,0.0031
0.179,0,0.078431373,2.896,2.694,0.024654,0.0023
0.205,0,0.074509804,2.896,2.652,0.024654,0.0017
0.217,0,0.066666667,2.896,2.652,0.024654,0.0017
0.215,0,0.062745098,2.896,2.663,0.024654,0.0017
0.2,0,0.058823529,2.896,2.688,0.024654,0.0016
0.208,0,0.054901961,2.896,2.672,0.024654,0.0011
0.195,0,0.050980392,2.896,2.675,0.024654,0.001
0.212,0,0.047058824,2.896,2.678,0.024654,9.00E-04
0.322,0,0.031372549,2.896,2.612,0.024654,7.00E-04
0.322,0,0.02745098,2.896,2.61,0.024654,4.00E-04
0.352,0,0.023529412,2.896,2.592,0.024654,3.00E-04
0.381,0,0.019607843,2.896,2.598,0.024654,3.00E-04
0.664,0,0.007843137,2.896,2.548,0.024654,2.00E-04
1.016,0,0.003921569,2.896,2.52,0.024654,2.00E-04
0.273,1,0.282352941,2.896,2.655,0.024654,0.2703
0.284,1,0.278431373,2.896,2.626,0.024654,0.2949
0.269,1,0.274509804,2.896,2.643,0.024654,0.276
0.253,1,0.270588235,2.896,2.676,0.024654,0.2455
0.268,1,0.266666667,2.896,2.637,0.024654,0.2794
0.249,1,0.250980392,2.896,2.722,0.024654,0.2089
0.237,1,0.235294118,2.896,2.642,0.024654,0.2622
0.238,1,0.231372549,2.896,2.642,0.024654,0.2622
0.242,1,0.215686275,2.896,2.654,0.024654,0.2524
0.248,1,0.211764706,2.896,2.634,0.024654,0.2699
0.247,1,0.2,2.896,2.674,0.024654,0.2366
0.249,1,0.196078431,2.896,2.714,0.024654,0.2064
0.259,1,0.192156863,2.896,2.711,0.024654,0.211
0.208,1,0.188235294,2.896,2.723,0.024654,0.1855
